,train,val,test
247622,True,False,False
247543,True,False,False
247321,True,False,False
246215_607233002,True,False,False
247601,True,False,False
247577,True,False,False
247587,True,False,False
247656,True,False,False
247637,True,False,False
247738,True,False,False
247353,True,False,False
248181,True,False,False
248150,True,False,False
248184,True,False,False
248255,True,False,False
247571_581243002,True,False,False
247574_581242009,True,False,False
247590_581975001,True,False,False
247712_584444012,True,False,False
247904_583194001,True,False,False
247898_583187001,True,False,False
247663_587829001,True,False,False
247685_588194030,True,False,False
247493_589943001,True,False,False
247497_589809001,True,False,False
247487_,True,False,False
247817_591099007,True,False,False
247835_,True,False,False
244436_623280006,True,False,False
247803_591373003,True,False,False
248086_593532002,True,False,False
247882_594240001,True,False,False
245938_595131001,True,False,False
245934_594991001,True,False,False
244305_629062003,True,False,False
247550_,True,False,False
245954_596076006,True,False,False
245945_595691002,True,False,False
245956_596109001,True,False,False
245904_597779001,True,False,False
245932_598064002,True,False,False
245723_599545012,True,False,False
245862_598653014,True,False,False
245804_,True,False,False
245784_,True,False,False
245793_602155009,True,False,False
245797_,True,False,False
245829_603454001,True,False,False
245823_603308004,True,False,False
245836_603631003,True,False,False
245851_603625001,True,False,False
246257_,True,False,False
246081_,True,False,False
246481_615202007,True,False,False
246230_605521003,True,False,False
246381_614451003,True,False,False
246203_606948001,True,False,False
246241_608313003,True,False,False
246430_618866002,True,False,False
246247_,True,False,False
246379_614335002,True,False,False
246377_613789001,True,False,False
246368_613703009,True,False,False
246389_614701002,True,False,False
246444_615719010,True,False,False
244325_620612004,True,False,False
244351_,True,False,False
244424_622922005,True,False,False
244429_623111010,True,False,False
244496_625656006,True,False,False
245132_626201002,True,False,False
245273_627374005,True,False,False
245275_627411012,True,False,False
245260_627213012,True,False,False
245278_627691002,True,False,False
245284_628547007,True,False,False
244319_629728012,True,False,False
244364_631524002,True,False,False
244565_656451009,True,False,False
245183_655848001,True,False,False
244514_656244015,True,False,False
244507_656262003,True,False,False
244521_656605010,True,False,False
245082_658290009,True,False,False
244637_658286001,True,False,False
244398_659401001,True,False,False
244411_659421011,True,False,False
244359,True,False,False
244525_662487008,True,False,False
244509_662438007,True,False,False
244522_662475006,True,False,False
244655_663828007,True,False,False
244634_663840003,True,False,False
244670_664015010,True,False,False
244843_665425002,True,False,False
245060_668066002,True,False,False
245063_668272001,True,False,False
245071_669533001,True,False,False
244306,True,False,False
244362,True,False,False
244422,True,False,False
244462,True,False,False
244513,True,False,False
245371_683442002,True,False,False
245377_683801002,True,False,False
245400_684215001,True,False,False
245305_685908002,True,False,False
245304_685907001,True,False,False
245326_,True,False,False
