,train,val,test
0,247622,248094,247712_584444012
1,247543,246081_,245932_598064002
2,246215_607233002,247637,244843_665425002
3,247601,247817_591099007,257272_765192001
4,247577,244362,245954_596076006
5,247587,245761_600226004,245793_602155009
6,247656,257029_754767001,245797_
7,247193,246412_614745007,244405
8,247684,247687_588162004,248109
9,247738,244507_656262003,"257982_782254^1A,1B^A18"
10,247353,244525_662487008,244670_664015010
11,248181,244424_622922005,245823_603308004
12,248150,257296_766686002,248090
13,248198,246381_614451003,247487_
14,248184,245862_598653014,244351_
15,248216,245260_627213012,247321
16,248255,255400,247608
17,247571_581243002,245766_600563002,255209
18,247574_581242009,255259,244459
19,247590_581975001,246415_614730003,257216_760469001
20,247904_583194001,246273_610145002,245375_683596011
21,247791_591555010,244418_622759001,248224
22,247898_583187001,244453_623461003,244490_625328009
23,247663_587829001,247643,247527
24,245937_595088002,244698_664469003,257323_768648032
25,247685_588194030,248171,246409_614740002
26,247493_589943001,245363_681233001,245401_684606007
27,247497_589809001,246487_615051001,257022_754771004
28,247850_,245311_686018009,246219_605855004
29,247835_,247624,245296_685436002
30,244436_623280006,245407_684812002,257255_762801005
31,247803_591373003,246305_612679002,245835_
32,247763_592027001,247887_,245830_603452002
33,246518_,247578_581473001,255235
34,248086_593532002,258028,258032
35,247882_594240001,244417,257051_755381002
36,245938_595131001,255376,244788_664625001
37,245934_594991001,258151_777788004,"257964_782473^1A,1B^A24"
38,244305_629062003,255197,246124_604524002
39,247550_,257191_759648005,257102_757381001
40,245945_595691002,257945_782721001,257063_755852001
41,245956_596109001,244371,244385
42,245904_597779001,257078_756939001,244479
43,245723_599545012,"258124_780788^1A,1B^A24",258165_776568002
44,245804_,245819_603323001,"258120_781272^1A,1B^A18"
45,245784_,255342,257288_766419028
46,245810_,248024_593914006,255294
47,245829_603454001,244452,255379
48,245836_603631003,255387,257601_770784027
49,245851_603625001,255289,257034_754971004
50,246257_,247985,"257972_782475^1A,1B^A24"
51,245861_,247810_591247002,246198_606208001
52,246481_615202007,247605,247486_590251003
53,246230_605521003,246233_605534002,247557_580749016
54,246203_606948001,247501_589801001,246254_
55,246241_608313003,244328_630012010,247881_582580002
56,246430_618866002,248232,246251_609386008
57,246247_,245867_598785001,244339_630112011
